instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,weekend
1,2011-01-01,Spring,2011,Jan,0,Saturday,0,Mist or Cloudy,14.110847,18.18125,0.805833,0.160446,331,654,985,1
2,2011-01-02,Spring,2011,Jan,0,Sunday,0,Mist or Cloudy,14.902598000000001,17.686950000000003,0.696087,0.248539,131,670,801,1
3,2011-01-03,Spring,2011,Jan,0,Monday,1,Clear or Partly Cloudy,8.050924,9.47025,0.437273,0.248309,120,1229,1349,0
4,2011-01-04,Spring,2011,Jan,0,Tuesday,1,Clear or Partly Cloudy,8.200000000000001,10.6061,0.590435,0.160296,108,1454,1562,0
5,2011-01-05,Spring,2011,Jan,0,Wednesday,1,Clear or Partly Cloudy,9.305237,11.4635,0.436957,0.1869,82,1518,1600,0
6,2011-01-06,Spring,2011,Jan,0,Thursday,1,Clear or Partly Cloudy,8.378268,11.66045,0.518261,0.0895652,88,1518,1606,0
7,2011-01-07,Spring,2011,Jan,0,Friday,1,Mist or Cloudy,8.057402,10.44195,0.498696,0.168726,148,1362,1510,0
8,2011-01-08,Spring,2011,Jan,0,Saturday,0,Mist or Cloudy,6.765000000000001,8.1127,0.535833,0.266804,68,891,959,1
9,2011-01-09,Spring,2011,Jan,0,Sunday,0,Clear or Partly Cloudy,5.671653,5.80875,0.434167,0.36195,54,768,822,1
10,2011-01-10,Spring,2011,Jan,0,Monday,1,Clear or Partly Cloudy,6.184153,7.5443999999999996,0.482917,0.223267,41,1280,1321,0
11,2011-01-11,Spring,2011,Jan,0,Tuesday,1,Mist or Cloudy,6.9327309999999995,9.5732,0.686364,0.122132,43,1220,1263,0
12,2011-01-12,Spring,2011,Jan,0,Wednesday,1,Clear or Partly Cloudy,7.0818069999999995,8.02365,0.599545,0.304627,25,1137,1162,0
13,2011-01-13,Spring,2011,Jan,0,Thursday,1,Clear or Partly Cloudy,6.765000000000001,7.544149999999999,0.470417,0.301,38,1368,1406,0
14,2011-01-14,Spring,2011,Jan,0,Friday,1,Clear or Partly Cloudy,6.59567,9.42065,0.537826,0.126548,54,1367,1421,0
15,2011-01-15,Spring,2011,Jan,0,Saturday,0,Mist or Cloudy,9.566653,12.4056,0.49875,0.157963,222,1026,1248,1
16,2011-01-16,Spring,2011,Jan,0,Sunday,0,Clear or Partly Cloudy,9.498347,11.71085,0.48375,0.188433,251,953,1204,1
17,2011-01-17,Spring,2011,Jan,1,Monday,0,Mist or Cloudy,7.209153,8.838550000000001,0.5375,0.194017,117,883,1000,0
18,2011-01-18,Spring,2011,Jan,0,Tuesday,1,Mist or Cloudy,8.883347,11.61665,0.861667,0.146775,9,674,683,0
19,2011-01-19,Spring,2011,Jan,0,Wednesday,1,Mist or Cloudy,11.979134,14.921100000000001,0.741739,0.208317,78,1572,1650,0
20,2011-01-20,Spring,2011,Jan,0,Thursday,1,Mist or Cloudy,10.728347,12.7525,0.538333,0.195904,83,1844,1927,0
21,2011-01-21,Spring,2011,Jan,0,Friday,1,Clear or Partly Cloudy,7.2775,7.89165,0.457083,0.353242,75,1468,1543,0
22,2011-01-22,Spring,2011,Jan,0,Saturday,0,Clear or Partly Cloudy,2.4243464,3.9534800000000003,0.4,0.17197,93,888,981,1
23,2011-01-23,Spring,2011,Jan,0,Sunday,0,Clear or Partly Cloudy,3.9573897000000002,4.941955,0.436522,0.2466,150,836,986,1
24,2011-01-24,Spring,2011,Jan,0,Monday,1,Clear or Partly Cloudy,3.9930433,5.8965,0.491739,0.15833,86,1330,1416,0
25,2011-01-25,Spring,2011,Jan,0,Tuesday,1,Mist or Cloudy,9.162598000000001,11.7263,0.616957,0.129796,186,1799,1985,0
26,2011-01-26,Spring,2011,Jan,0,Wednesday,1,Light Snow or Rain,8.9175,10.18,0.8625,0.29385,34,472,506,0
27,2011-01-27,Spring,2011,Jan,0,Thursday,1,Clear or Partly Cloudy,7.995,10.985,0.6875,0.113837,15,416,431,0
28,2011-01-28,Spring,2011,Jan,0,Friday,1,Mist or Cloudy,8.342597999999999,11.165849999999999,0.793043,0.1233,38,1129,1167,0
29,2011-01-29,Spring,2011,Jan,0,Saturday,0,Clear or Partly Cloudy,8.057402,10.606300000000001,0.651739,0.145365,123,975,1098,1
30,2011-01-30,Spring,2011,Jan,0,Sunday,0,Clear or Partly Cloudy,8.877402,12.5161,0.722174,0.0739826,140,956,1096,1
31,2011-01-31,Spring,2011,Jan,0,Monday,1,Mist or Cloudy,7.414153,9.3125,0.60375,0.187192,42,1459,1501,0
32,2011-02-01,Spring,2011,Feb,0,Tuesday,1,Mist or Cloudy,7.8791340000000005,11.7265,0.829565,0.053213,47,1313,1360,0
33,2011-02-02,Spring,2011,Feb,0,Wednesday,1,Mist or Cloudy,10.66,12.72085,0.775417,0.264308,72,1454,1526,0
34,2011-02-03,Spring,2011,Feb,0,Thursday,1,Clear or Partly Cloudy,7.665237,8.8939,0.437826,0.277752,61,1489,1550,0
35,2011-02-04,Spring,2011,Feb,0,Friday,1,Mist or Cloudy,8.663464,11.429350000000001,0.585217,0.127839,88,1620,1708,0
36,2011-02-05,Spring,2011,Feb,0,Saturday,0,Mist or Cloudy,9.566653,12.152899999999999,0.929167,0.161079,100,905,1005,1
37,2011-02-06,Spring,2011,Feb,0,Sunday,0,Clear or Partly Cloudy,11.719153,14.58355,0.568333,0.1418,354,1269,1623,1
38,2011-02-07,Spring,2011,Feb,0,Monday,1,Clear or Partly Cloudy,11.138347,15.1829,0.738333,0.0454083,120,1592,1712,0
39,2011-02-08,Spring,2011,Feb,0,Tuesday,1,Clear or Partly Cloudy,9.054153,9.9123,0.537917,0.36195,64,1466,1530,0
40,2011-02-09,Spring,2011,Feb,0,Wednesday,1,Mist or Cloudy,5.526102999999999,7.21415,0.494783,0.188839,53,1552,1605,0
41,2011-02-10,Spring,2011,Feb,0,Thursday,1,Clear or Partly Cloudy,5.918268,7.477399999999999,0.437391,0.221935,47,1491,1538,0
42,2011-02-11,Spring,2011,Feb,0,Friday,1,Clear or Partly Cloudy,7.752731000000001,10.67545,0.506364,0.10855,149,1597,1746,0
43,2011-02-12,Spring,2011,Feb,0,Saturday,0,Clear or Partly Cloudy,9.1225,11.6477,0.544167,0.203367,288,1184,1472,1
44,2011-02-13,Spring,2011,Feb,0,Sunday,0,Clear or Partly Cloudy,12.977402000000001,16.20565,0.457391,0.260883,397,1192,1589,1
45,2011-02-14,Spring,2011,Feb,0,Monday,1,Clear or Partly Cloudy,17.015,19.9175,0.375833,0.417908,208,1705,1913,0
46,2011-02-15,Spring,2011,Feb,0,Tuesday,1,Clear or Partly Cloudy,10.909567000000001,12.7137,0.314348,0.291374,140,1675,1815,0
47,2011-02-16,Spring,2011,Feb,0,Wednesday,1,Clear or Partly Cloudy,13.048701000000001,15.809999999999999,0.423478,0.251791,218,1897,2115,0
48,2011-02-17,Spring,2011,Feb,0,Thursday,1,Clear or Partly Cloudy,17.869153,21.4329,0.505,0.230104,259,2216,2475,0
49,2011-02-18,Spring,2011,Feb,0,Friday,1,Clear or Partly Cloudy,21.388347,25.599149999999998,0.516667,0.264925,579,2348,2927,0
50,2011-02-19,Spring,2011,Feb,0,Saturday,0,Clear or Partly Cloudy,16.365847,19.5702,0.187917,0.507463,532,1103,1635,1
51,2011-02-20,Spring,2011,Feb,0,Sunday,0,Clear or Partly Cloudy,11.693897,13.8665,0.407826,0.223235,639,1173,1812,1
52,2011-02-21,Spring,2011,Feb,1,Monday,0,Mist or Cloudy,12.436653000000002,14.203750000000001,0.605,0.307846,195,912,1107,0
53,2011-02-22,Spring,2011,Feb,0,Tuesday,1,Clear or Partly Cloudy,7.471102,9.30165,0.577778,0.195683,74,1376,1450,0
54,2011-02-23,Spring,2011,Feb,0,Wednesday,1,Clear or Partly Cloudy,9.091299,12.28585,0.423043,0.094113,139,1778,1917,0
55,2011-02-24,Spring,2011,Feb,0,Thursday,1,Mist or Cloudy,12.121732000000002,14.459549999999998,0.697391,0.250496,100,1707,1807,0
56,2011-02-25,Spring,2011,Feb,0,Friday,1,Mist or Cloudy,14.938268,17.52305,0.712174,0.346539,120,1341,1461,0
57,2011-02-26,Spring,2011,Feb,0,Saturday,0,Clear or Partly Cloudy,11.5825,14.1096,0.537917,0.186571,424,1545,1969,1
